Property_Number,URL,Price,SQM,Energy_Class,Price_per_SQM,Neighborhood,Rooms,Title,Property_Type,Listing_Type,Confidence,Validation_Flags,Timestamp,Property_ID,Description
85,"https://www.spitogatos.gr/en/property/1117770219",128000.0,44.0,"D",2909,"Athens Center",1,"Sale; Apartment; 44m² Neos Kosmos; Center | 17770219 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:52","e5fe319d62b5","Make this property yours with a mortgage starting from "
86,"https://www.spitogatos.gr/en/property/1117534037",123000.0,63.0,"D",1952,"Athens Center",1,"Sale; Apartment; 63m² Attiki; Platia Attikis | 17534037 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:18","14727a7aa625","Make this property yours with a mortgage starting from "
87,"https://www.spitogatos.gr/en/property/1117952031",120000.0,78.0,"D",1538,"Athens Center",2,"Sale; Apartment; 78m² Athens - Center; Attiki | 17952031 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:19","bd560b9c2a8c","Make this property yours with a mortgage starting from "
88,"https://www.spitogatos.gr/en/property/1118038090",115000.0,60.0,"D",1917,"Athens Center",1,"Sale; Apartment; 60m² Athens - Center; Ano Patisia | 18038090 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:22","68c234d603b9","Make this property yours with a mortgage starting from "
89,"https://www.spitogatos.gr/en/property/1117726813",115000.0,50.0,"A",2300,"Athens Center",1,"Sale; Apartment; 50m² Patision - Acharnon; Kato Patisia | 17726813 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:47:38","ba5eca93fa8f","Make this property yours with a mortgage starting from "
90,"https://www.spitogatos.gr/en/property/1118047277",115000.0,73.0,"D",1575,"Athens Center",3,"Sale; Apartment; 73m² Patision - Acharnon; Ag. Meletiou - Viktorias Sq. - Marni | 18047277 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:38","9d0f71586f47","Make this property yours with a mortgage starting from "
91,"https://www.spitogatos.gr/en/property/1117447296",115000.0,45.0,"C",2556,"Athens Center",1,"Sale; Apartment; 45m² Attiki; Thimarakia | 17447296 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:53:32","f094773230d6","Make this property yours with a mortgage starting from "
92,"https://www.spitogatos.gr/en/property/1117213970",114000.0,72.0,"D",1583,"Athens Center",1,"Sale; Apartment; 72m² Goudi; Agios Thomas | 17213970 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:28","8c30b76bfa9e","Make this property yours with a mortgage starting from "
93,"https://www.spitogatos.gr/en/property/1117899750",97000.0,51.0,"D",1902,"Athens Center",1,"Sale; Apartment; 51m² Athens - Center; Patisia | 17899750 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:49:11","01875eb62167","Make this property yours with a mortgage starting from "
94,"https://www.spitogatos.gr/en/property/1117495442",93000.0,52.0,"B",1788,"Kipseli",2,"Sale; Apartment; 52m² Athens - Center; Kipseli | 17495442 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:55","479c37628fee","Make this property yours with a mortgage starting from "
95,"https://www.spitogatos.gr/en/property/1117933932",84000.0,67.0,"D",1254,"Athens Center",1,"Sale; Apartment; 67m² Pagkrati; Profitis Ilias | 17933932 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:51:08","1a57012dd0ca","Make this property yours with a mortgage starting from "
96,"https://www.spitogatos.gr/en/property/1118033292",75000.0,22.0,"C",3409,"Ampelokipoi",1,"Sale; Studio; 22m² Ampelokipoi - Pentagon; Pyrgos Athinon | 18033292 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:48:45","eb21bd4cedac","Make this property yours with a mortgage starting from "
97,"https://www.spitogatos.gr/en/property/1117828519",70000.0,38.0,"D",1842,"Kipseli",1,"Sale; Apartment; 38m² Athens - Center; Kipseli | 17828519 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:46:48","56e2cedf0d75","Make this property yours with a mortgage starting from "
98,"https://www.spitogatos.gr/en/property/1117559655",69000.0,42.0,"D",1643,"Kipseli",1,"Sale; Apartment; 42m² Kipseli; Ano Kipseli - Evelpidon | 17559655 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:58","d2871cfced06","Make this property yours with a mortgage starting from "
99,"https://www.spitogatos.gr/en/property/1116696975",58000.0,36.0,"C",1611,"Athens Center",1,"Sale; Studio; 36m² Poligono - Tourkovounia; Poligono | 16696975 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:50:15","8b4267cf6b7b","Make this property yours with a mortgage starting from "
100,"https://www.spitogatos.gr/en/property/1117570090",45000.0,45.0,"D",1000,"Athens Center",1,"Sale; Apartment; 45m² Patision - Acharnon; Agios Nikolaos | 17570090 | Spitogatos","apartment","sale",0.90,"SCALED_AUTHENTIC_DATA","2025-08-05T17:52:45","79d4ea54b496","Make this property yours with a mortgage starting from "
